# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC conv_output_silu-24 ne=[8192,6] sum=15.28233 absum=266.49433 v0=-0.013704 v1=0.019826 v2=0.170000
ORC attn_output-24     ne=[128,32] sum=-0.00019 absum=0.00111 v0=0.000001 v1=-0.000010 v2=0.000033
ORC final_output-24    ne=[4096,6] sum=-1.09077 absum=21.64649 v0=0.004104 v1=0.004019 v2=-0.002241
ORC linear_attn_out-24 ne=[2048,6] sum=-0.27732 absum=15.39655 v0=-0.003754 v1=0.011377 v2=0.003487
ORC linear_attn_out-24 (reshaped) ne=[2048,6] sum=-0.27732 absum=15.39655 v0=-0.003754 v1=0.011377 v2=0.003487
ORC ffn_moe_out-24     ne=[2048,6] sum=-0.26537 absum=22.00479 v0=-0.023527 v1=0.013070 v2=0.009044
ORC ffn_out-24         ne=[2048,6] sum=-0.40041 absum=22.36057 v0=-0.017831 v1=0.012485 v2=0.008390
ORC l_out-24           ne=[2048,6] sum=-1.76011 absum=97.26045 v0=-0.059485 v1=0.033122 v2=-0.033603
ORC conv_output_silu-25 ne=[8192,6] sum=48.60758 absum=312.25512 v0=-0.032307 v1=-0.032261 v2=0.002933
ORC attn_output-25     ne=[128,32] sum=-0.00002 absum=0.00003 v0=0.000000 v1=-0.000000 v2=-0.000000
ORC final_output-25    ne=[4096,6] sum=0.45491 absum=21.84197 v0=-0.000507 v1=0.000947 v2=0.015614
ORC linear_attn_out-25 ne=[2048,6] sum=1.23239 absum=18.12211 v0=0.023790 v1=0.008385 v2=-0.003896
ORC linear_attn_out-25 (reshaped) ne=[2048,6] sum=1.23239 absum=18.12211 v0=0.023790 v1=0.008385 v2=-0.003896
ORC ffn_moe_out-25     ne=[2048,6] sum=-0.23133 absum=14.22313 v0=-0.007898 v1=-0.000587 v2=0.001120
ORC ffn_out-25         ne=[2048,6] sum=-0.88658 absum=15.98851 v0=-0.013544 v1=-0.003376 v2=0.002765
ORC l_out-25           ne=[2048,6] sum=-1.41430 absum=98.60352 v0=-0.049239 v1=0.038131 v2=-0.034734
ORC conv_output_silu-26 ne=[8192,6] sum=47.11851 absum=355.42168 v0=0.078002 v1=-0.266179 v2=0.002042
ORC attn_output-26     ne=[128,32] sum=0.00001 absum=0.00021 v0=0.000000 v1=-0.000001 v2=0.000003
ORC final_output-26    ne=[4096,6] sum=0.47098 absum=23.70862 v0=-0.004501 v1=-0.000128 v2=0.007043
ORC linear_attn_out-26 ne=[2048,6] sum=1.10817 absum=18.04462 v0=0.007263 v1=-0.000054 v2=0.001049
ORC linear_attn_out-26 (reshaped) ne=[2048,6] sum=1.10817 absum=18.04462 v0=0.007263 v1=-0.000054 v2=0.001049
